행정구역별,산업별,사업체구분별,항목,단위,2006 년,2007 년,2008 년,2009 년,2010 년,2011 년,2012 년,2013 년,2014 년,2015 년,2016 년,2017 년,2018 년,2019 년,2020 년,계산결과,464.92,539.67,"8,247.50","7,407"
세종,"공공행정, 국방 및 사회보장 행정(84)",계,종사자수[명],명,,,,,,,6905,11488,13925,16126,17063,17204,18938,21871,19384,35.91824634,,,,
세종,교육 서비스업(85),계,사업체수[개],개,,,,,,,237,279,351,484,613,877,1107,1354,1524,2.823947968,,,,
세종,교육 서비스업(85),계,종사자수[명],명,,,,,,,3978,4368,5850,7743,8822,10693,12802,14279,14561,26.98130339,,,,
세종,보건업 및 사회복지 서비스업(86~87),계,사업체수[개],개,,,,,,,240,267,323,444,550,673,817,885,914,1.693627587,,,,
세종,보건업 및 사회복지 서비스업(86~87),계,종사자수[명],명,,,,,,,2278,2603,3147,4143,5332,7409,9033,10183,11370,21.06843071,,,,
세종,"예술, 스포츠 및 여가관련 서비스업(90~91)",계,사업체수[개],개,,,,,,,178,200,230,282,366,469,541,601,657,1.21741064,,,,
세종,"예술, 스포츠 및 여가관련 서비스업(90~91)",계,종사자수[명],명,,,,,,,773,788,918,1161,1240,1627,1998,2171,2186,4.050623529,,,,
세종,"협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",계,사업체수[개],개,,,,,,,758,801,825,950,1091,1272,1553,1749,1893,3.507699149,,,,
세종,"협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",계,종사자수[명],명,,,,,,,1593,1734,1901,2264,2378,2812,3559,3966,3871,7.172901959,세종끝,,,
충북,제조업(10~34),계,사업체수[개],개,9145,9264,9224,9397,9539,9959,10337,11135,12118,12698,12905,13190,13786,14273,14648,0.179780797,충북시작,,,
충북,제조업(10~34),계,종사자수[명],명,127043,130580,136992,140002,144572,154733,156920,168762,180032,186786,194233,198137,208750,212108,213467,2.619966371,,,,
충북,"전기, 가스, 증기 및 공기조절 공급업(35)",계,사업체수[개],개,39,38,36,36,37,39,47,49,53,54,58,73,87,101,176,0.002160119,,,,
충북,"전기, 가스, 증기 및 공기조절 공급업(35)",계,종사자수[명],명,1347,1428,1429,1280,1382,1215,1231,1259,1361,1391,1416,1472,1555,1539,1506,0.018483744,,,,
충북,"수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",계,사업체수[개],개,272,286,287,303,310,339,373,406,452,439,441,438,450,482,503,0.006173521,,,,
충북,"수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",계,종사자수[명],명,3625,3542,3633,3715,4019,4415,4363,4588,4824,4926,5183,5035,5255,5454,5338,0.065515422,,,,
충북,건설업(41~42),계,사업체수[개],개,3615,3766,3768,3813,3864,4105,4239,4696,5027,5258,5257,5220,5378,5594,6124,0.075162316,,,,
충북,건설업(41~42),계,종사자수[명],명,27478,28049,32521,32846,35851,32871,33432,31846,34037,41674,43446,44064,49151,50322,42511,0.521754606,,,,
충북,도매 및 소매업(45~47),계,사업체수[개],개,25541,25937,25849,25767,26342,27161,28427,28978,29836,30626,30512,30663,30969,31524,32431,0.39803871,,,,
충북,도매 및 소매업(45~47),계,종사자수[명],명,63084,65304,65927,66425,65836,67615,72117,74643,75971,79215,79464,80085,81148,84157,73984,0.908035396,,,,
충북,운수 및 창고업(49~52),계,사업체수[개],개,9532,9779,9795,9934,10039,10179,10342,10417,10522,10361,11580,10959,11596,11790,12437,0.152644305,,,,
충북,운수 및 창고업(49~52),계,종사자수[명],명,22650,23327,24893,24406,24620,24997,25884,25923,26842,26622,28963,28525,29805,30878,29204,0.358432441,,,,
충북,숙박 및 음식점업(55~56),계,사업체수[개],개,21354,21620,21552,21697,22327,23115,23959,24451,25076,25492,26377,26856,27909,28650,30415,0.373295531,,,,
충북,숙박 및 음식점업(55~56),계,종사자수[명],명,51105,52307,52938,52750,53647,55588,59470,61398,63671,64681,66986,68799,72992,76781,64645,0.793414092,,,,
충북,정보통신업(58~63),계,사업체수[개],개,469,469,444,460,497,528,551,557,554,562,570,587,609,660,700,0.008591382,,,,
충북,정보통신업(58~63),계,종사자수[명],명,5417,5383,5326,5016,5468,5703,5503,5774,5184,5182,5805,5824,6007,6064,5765,0.070756164,,,,
충북,금융 및 보험업(64~66),계,사업체수[개],개,1154,1203,1192,1236,1260,1280,1303,1278,1264,1249,1224,1260,1251,1258,1266,0.015538127,,,,
충북,금융 및 보험업(64~66),계,종사자수[명],명,15091,16222,16231,17148,15459,16996,16824,16258,15954,16107,15654,16591,15726,15852,14757,0.181118598,,,,
충북,부동산업(68),계,사업체수[개],개,2441,2553,2587,2673,2981,3176,2788,2842,3104,3062,3337,3496,3631,3766,3977,0.048811321,,,,
충북,부동산업(68),계,종사자수[명],명,8477,7588,8972,9397,10447,10487,10076,10401,10764,10469,11493,11242,11995,11939,11718,0.143819728,,,,
충북,"전문, 과학 및 기술 서비스업(70~73)",계,사업체수[개],개,1485,1494,1547,1622,1700,1814,1903,1999,2133,2231,2289,2312,2512,2688,2874,0.035273758,,,,
충북,"전문, 과학 및 기술 서비스업(70~73)",계,종사자수[명],명,9533,9952,11078,11843,12218,12676,13386,13886,15179,15722,16990,17758,19280,22204,22224,0.272764093,,,,
충북,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",계,사업체수[개],개,1385,1378,1399,1434,1558,1725,1850,2010,2175,2218,2236,2342,2414,2631,2744,0.033678216,,,,
충북,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",계,종사자수[명],명,12297,15612,14823,15278,16374,18140,20502,21499,23603,26985,25730,26672,27209,29567,29436,0.36127987,,,,
충북,"공공행정, 국방 및 사회보장 행정(84)",계,사업체수[개],개,559,554,538,531,545,535,533,538,559,563,568,566,556,557,550,0.006750371,,,,
충북,"공공행정, 국방 및 사회보장 행정(84)",계,종사자수[명],명,18725,19195,19572,22296,27724,25997,24465,25896,27753,28917,27708,27995,29481,31511,33732,0.414006407,,,,
충북,교육 서비스업(85),계,사업체수[개],개,4871,5063,5208,5206,5341,5364,5410,5389,5375,5362,5399,5449,5462,5541,5522,0.067773728,,,,
충북,교육 서비스업(85),계,종사자수[명],명,41121,42716,42275,43164,45681,46736,47772,47300,48995,50616,49321,50661,51293,52912,51364,0.630411036,,,,
충북,보건업 및 사회복지 서비스업(86~87),계,사업체수[개],개,2637,2737,2916,3118,3345,3507,3764,3913,4153,4173,4448,4578,4614,4778,4754,0.058347755,,,,
충북,보건업 및 사회복지 서비스업(86~87),계,종사자수[명],명,22975,24327,26759,30825,33568,35822,38122,41517,45051,46436,52142,55320,58992,62381,64231,0.788332904,,,,
충북,"예술, 스포츠 및 여가관련 서비스업(90~91)",계,사업체수[개],개,2881,3041,3204,3255,3384,3513,3551,3585,3585,3598,3916,4178,4262,4426,4356,0.05346294,,,,
충북,"예술, 스포츠 및 여가관련 서비스업(90~91)",계,종사자수[명],명,7873,8430,8680,9563,9461,10404,11076,11567,11781,11588,12727,13342,14059,15458,13234,0.162426206,,,,
충북,"협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",계,사업체수[개],개,11783,12037,12146,12298,12506,12718,13062,13128,13246,13269,13394,13698,14056,14406,14651,0.179817617,,,,
충북,"협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",계,종사자수[명],명,22793,23860,23870,24719,24771,24938,26040,26232,26649,27917,26659,26838,27116,28547,26266,0.322373185,충북끝,,,
충남,제조업(10~34),계,사업체수[개],개,12254,12364,12306,12439,12693,13417,13505,14258,15792,16610,17150,17694,18422,19050,19478,0.157445691,충남시작,,,
충남,제조업(10~34),계,종사자수[명],명,188271,192020,199787,204239,218055,250669,240107,260484,269217,276581,284596,284336,293530,299436,301104,2.433901182,,,,
충남,"전기, 가스, 증기 및 공기조절 공급업(35)",계,사업체수[개],개,64,64,66,67,75,83,79,79,82,100,113,113,145,176,310,0.00250581,,,,
충남,"전기, 가스, 증기 및 공기조절 공급업(35)",계,종사자수[명],명,4233,4197,4059,3968,4128,3948,3855,4113,4673,4860,5939,6199,6414,6610,6996,0.05655047,,,,
충남,"수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",계,사업체수[개],개,274,297,306,322,326,357,368,425,477,497,509,517,543,619,631,0.005100536,,,,
충남,"수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",계,종사자수[명],명,3736,4046,4223,4119,4745,4917,4808,5354,5492,5954,6134,6423,6659,6878,6828,0.055192483,,,,
충남,건설업(41~42),계,사업체수[개],개,3972,4190,4189,4221,4292,4863,5050,5420,6027,6315,6447,6559,6939,7218,7791,0.06297666,,,,
충남,건설업(41~42),계,종사자수[명],명,29351,28091,30878,30861,36395,37468,38220,35844,40565,49464,52334,54247,54223,57902,50846,0.411001314,,,,
충남,도매 및 소매업(45~47),계,사업체수[개],개,34345,34752,34909,34565,35120,36447,36491,37739,39893,41285,41086,41638,42449,43064,44714,0.361434778,,,,
